World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
945,Keele University,United Kingdom,61,-,1480,-,898,70.6
946,Institut national de la recherche scientifique,Canada,26,-,-,-,900,70.6
947,Xiangtan University,China,137,-,1024,-,903,70.6
948,Yunnan University,China,138,-,1603,-,901,70.5
949,University of Akron,USA,204,-,745,-,912,70.5
950,Mohammed V University,Morocco,1,-,-,-,902,70.5
951,Federal University of Ceará,Brazil,18,-,1459,-,904,70.5
952,North Dakota State University,USA,205,293,986,-,920,70.5
953,Federal University of Pelotas,Brazil,19,-,-,-,907,70.5
954,University of Sassari,Italy,47,-,-,-,908,70.5
955,Makerere University,Uganda,1,-,1463,-,910,70.5
956,INSA Toulouse,France,41,-,582,-,927,70.5
957,Southern Illinois University Carbondale,USA,206,-,1506,-,914,70.5
958,Sichuan Agricultural University,China,139,-,-,-,913,70.5
959,Aston University,United Kingdom,62,-,560,-,936,70.5
960,Federal University of São Carlos,Brazil,20,-,-,-,915,70.5
961,East Carolina University,USA,207,-,813,-,921,70.5
962,New Jersey Institute of Technology,USA,208,425,682,-,928,70.5
963,University of Windsor,Canada,27,-,197,-,1010,70.5
964,Johannes Kepler University Linz,Austria,10,-,871,-,922,70.4
965,Nantong University,China,140,-,-,-,919,70.4
966,University of Hyogo,Japan,35,-,-,102,1461,70.4
967,Fluminense Federal University,Brazil,21,-,976,-,925,70.4
968,Hangzhou Dianzi University,China,141,-,1230,-,924,70.4
969,Ulster University,United Kingdom,63,-,1412,-,926,70.4
970,University of Regina,Canada,28,-,-,-,929,70.4
971,Shanghai Normal University,China,142,-,1334,-,930,70.4
972,University of Naples Parthenope,Italy,48,-,-,-,932,70.4
973,Bucknell University,USA,209,-,54,-,1941,70.4
974,Marmara University,Turkey,10,-,-,-,933,70.4
975,Tunis El Manar University,Tunisia,1,-,-,-,934,70.4
976,National University of Córdoba,Argentina,3,-,-,-,935,70.4
977,Pomona College,USA,210,27,931,271,-,70.4
978,Ferdowsi University of Mashhad,Iran,11,-,-,-,937,70.4
979,Hallym University,South Korea,33,-,-,-,938,70.4
980,Colgate University,USA,211,-,49,-,-,70.4
981,University of Memphis,USA,212,-,446,-,961,70.3
982,ITMO University,Russia,16,-,-,-,939,70.3
983,Capital Normal University,China,143,-,924,-,942,70.3
984,Federal University of Rio Grande do Norte,Brazil,22,-,-,-,940,70.3
985,University of Tabriz,Iran,12,-,-,-,941,70.3
986,Lappeenranta University of Technology,Finland,8,-,679,-,949,70.3
987,Ritsumeikan University,Japan,36,-,633,-,953,70.3
988,Edith Cowan University,Australia,26,-,1276,-,944,70.3
989,Fujian Medical University,China,144,-,-,-,943,70.3
990,Babson College,USA,213,-,39,-,-,70.3
991,Alexandria University,Egypt,4,408,1652,-,945,70.3
992,Homi Bhabha National Institute,India,18,-,-,-,946,70.3
993,Tokai University,Japan,37,-,-,-,947,70.3
994,Autonomous University of San Luis Potosí,Mexico,5,-,-,-,948,70.3
995,Federal University of Juiz de Fora,Brazil,23,-,-,-,950,70.3
996,Qufu Normal University,China,145,-,-,-,951,70.3
997,Pepperdine University,USA,214,94,87,168,-,70.2
998,University of Extremadura,Spain,34,-,-,-,954,70.2
999,Wrocław University of Science and Technology,Poland,11,-,901,-,957,70.2
1000,Bilkent University,Turkey,11,-,893,-,958,70.2
1001,Victoria University,Australia,27,-,-,-,955,70.2
1002,Sanford Burnham Prebys Medical Discovery Institute,USA,215,-,-,-,956,70.2
1003,American University,USA,216,-,374,-,988,70.2
1004,Australian Catholic University,Australia,28,-,1613,-,959,70.2
1005,University of A Coruña,Spain,35,-,1348,-,960,70.2
1006,V.A. Engelhardt Institute of Molecular Biology of the Russian Academy of Sciences,Russia,17,44,-,216,-,70.2
1007,Tokyo University of Agriculture and Technology,Japan,38,-,-,-,962,70.2
1008,University of Upper Alsace,France,42,-,-,-,963,70.2
1009,Gifu University,Japan,39,-,694,-,968,70.2
1010,Cheung Kong Graduate School of Business,China,146,-,32,-,-,70.2
1011,Zhejiang Sci-Tech University,China,147,-,1319,-,964,70.2
1012,Singapore University of Technology and Design,Singapore,3,-,-,-,965,70.2
1013,University of Mannheim,Germany,53,-,811,-,967,70.2
1014,Medical University of Lodz,Poland,12,-,-,-,966,70.1
1015,Florida Institute of Technology,USA,217,-,755,-,976,70.1
1016,University of Texas at El Paso,USA,218,-,994,-,972,70.1
1017,Royal College of Surgeons in Ireland,Ireland,6,-,-,-,969,70.1
1018,Federal University of Bahia,Brazil,24,-,1284,-,970,70.1
1019,Ehime University,Japan,40,-,1147,-,973,70.1
1020,Fujian Normal University,China,148,-,-,-,971,70.1
1021,University of Antioquia,Colombia,3,-,1288,-,974,70.1
1022,Hunter College,USA,219,146,1315,-,1028,70.1
1023,Nicolaus Copernicus University,Poland,13,-,-,-,975,70.1
1024,Cadi Ayyad University,Morocco,2,-,-,-,977,70.1
1025,Villanova University,USA,220,412,142,-,1188,70.1
1026,University of Texas Rio Grande Valley,USA,221,-,-,-,978,70.1
1027,University of Franche-Comté,France,43,484,-,-,979,70.1
1028,University of Bucharest,Romania,3,359,-,-,985,70.1
1029,University of Cádiz,Spain,36,-,-,-,982,70.1
1030,Yamagata University,Japan,41,-,-,-,983,70.1
1031,Auckland University of Technology,New Zealand,6,-,-,-,984,70
1032,"University of New England, Australia",Australia,29,-,702,-,998,70
1033,Louisiana Tech University,USA,222,-,337,-,1047,70
1034,Macau University of Science and Technology,China,149,-,571,-,1011,70
1035,Florida Atlantic University,USA,223,-,-,-,989,70
1036,Miguel Hernández University of Elche,Spain,37,-,-,-,990,70
1037,Sogang University,South Korea,34,-,565,-,1014,70
1038,Rochester Institute of Technology,USA,224,-,1090,-,993,70
1039,Yıldız Technical University,Turkey,12,-,1056,-,994,70
1040,VetAgro Sup,France,44,-,-,-,991,70
1041,University of South Bohemia,Czech Republic,5,-,-,-,992,70
1042,National Taiwan Normal University,Taiwan,13,-,1233,-,995,70
1043,University of Lleida,Spain,38,-,-,-,997,70
1044,Shanghai University of Finance and Economics,China,150,-,113,-,1331,70
1045,Federal University of Santa Maria,Brazil,25,-,1033,-,1004,70
1046,Osaka Prefecture University,Japan,42,-,724,-,1012,70
1047,University of Toyama,Japan,43,-,649,-,1019,70
1048,Guizhou University,China,151,-,1119,-,1005,69.9
1049,Brandenburg University of Technology,Germany,54,-,1425,-,1001,69.9
1050,Shantou University,China,152,-,-,-,999,69.9
1051,Aga Khan University,Pakistan,3,-,-,-,1002,69.9
1052,Jadavpur University,India,19,-,1174,-,1008,69.9
1053,Tokyo Women's Medical University,Japan,44,-,-,-,1003,69.9
1054,Hubei University,China,153,-,1396,-,1007,69.9
1055,SUNY Upstate Medical University,USA,225,-,-,-,1006,69.9
1056,Creighton University,USA,226,-,-,-,1009,69.9
1057,Manhattan College,USA,227,-,114,-,1343,69.9
1058,Manchester Metropolitan University,United Kingdom,64,-,878,-,1020,69.9
1059,University of Thessaly,Greece,7,-,-,-,1013,69.9
1060,Gaziantep University,Turkey,13,-,-,-,1015,69.9
1061,University of Jaén,Spain,39,-,-,-,1016,69.9
1062,University of New Brunswick,Canada,29,-,810,-,1025,69.9
1063,Ramon Llull University,Spain,40,-,285,-,1090,69.9
1064,Federal University of Goiás,Brazil,26,-,-,-,1017,69.9
1065,Hebei University of Technology,China,154,-,1342,-,1018,69.9
1066,Kagoshima University,Japan,45,-,800,-,1026,69.8
1067,University of Urbino,Italy,49,-,1223,-,1021,69.8
1068,Hassan II University of Casablanca,Morocco,3,-,-,-,1022,69.8
1069,Paderborn University,Germany,55,-,1402,-,1023,69.8
1070,National Taipei University of Technology,Taiwan,14,-,700,-,1038,69.8
1071,Paracelsus Medical University,Austria,11,-,-,-,1024,69.8
1072,Institute of Science and Technology Austria,Austria,12,-,-,194,1326,69.8
1073,Northeast Forestry University,China,155,-,-,-,1027,69.8
1074,Copenhagen Business School,Denmark,6,-,196,-,1170,69.8
1075,Dankook University,South Korea,35,-,1280,-,1030,69.8
1076,IMT Atlantique,France,45,-,-,-,1029,69.8
1077,University of Maribor,Slovenia,2,-,-,-,1032,69.8
1078,Dublin City University,Ireland,7,-,830,-,1041,69.8
1079,Kazan Federal University,Russia,18,-,1635,-,1033,69.8
1080,Tianjin University of Technology,China,156,-,-,-,1034,69.8
1081,Worcester Polytechnic Institute,USA,228,-,157,-,1240,69.8
1082,Chang'an University,China,157,-,1461,-,1035,69.8
1083,Qilu University of Technology,China,158,-,-,-,1036,69.7
1084,Luleå University of Technology,Sweden,13,-,-,-,1037,69.7
1085,Chuo University,Japan,46,-,73,-,1732,69.7
1086,University of Salzburg,Austria,13,-,650,-,1052,69.7
1087,Fordham University,USA,229,-,224,-,1159,69.7
1088,Tiangong University,China,159,-,-,-,1040,69.7
1089,United States Naval Academy,USA,230,66,170,-,1788,69.7
1090,Mohammed First University Oujda,Morocco,4,-,-,-,1042,69.7
1091,Nanjing University of Chinese Medicine,China,160,-,-,-,1043,69.7
1092,Postgraduate Institute of Medical Education and Research,India,20,-,-,-,1044,69.7
1093,Addis Ababa University,Ethiopia,1,-,-,-,1045,69.7
1094,University of Canberra,Australia,30,-,1547,-,1046,69.7
1095,Charles Sturt University,Australia,31,-,1318,-,1048,69.7
1096,École nationale supérieure de chimie de Montpellier,France,46,-,-,-,1049,69.7
1097,"University of Veterinary Medicine, Vienna",Austria,14,-,-,-,1050,69.7
1098,Jichi Medical University,Japan,47,-,-,-,1051,69.7
1099,Medical University of Gdańsk,Poland,14,-,-,-,1053,69.7
1100,Charles Darwin University,Australia,32,-,-,-,1054,69.7
1101,University of North Carolina at Greensboro,USA,231,-,-,-,1055,69.6
1102,Shahid Beheshti University,Iran,13,-,-,-,1056,69.6
1103,Mersin University,Turkey,14,-,-,-,1057,69.6
1104,Åbo Akademi University,Finland,9,-,-,-,1058,69.6
1105,Pablo de Olavide University,Spain,41,-,-,-,1059,69.6
1106,"Indian Institute of Science Education and Research, Pune",India,21,-,-,-,1060,69.6
1107,"Asia University, Taiwan",Taiwan,15,-,-,-,1061,69.6
1108,Nottingham Trent University,United Kingdom,65,-,664,-,1075,69.6
1109,Hunan Agricultural University,China,161,-,-,-,1062,69.6
1110,Medical University of Silesia,Poland,15,-,-,-,1063,69.6
1111,Jiangsu Normal University,China,162,-,1417,-,1066,69.6
1112,Toho University,Japan,48,-,-,-,1064,69.6
1113,Gunma University,Japan,49,-,-,-,1065,69.6
1114,Koç University,Turkey,15,-,-,-,1067,69.6
1115,University of Waikato,New Zealand,7,-,698,-,1080,69.6
1116,Tomsk Polytechnic University,Russia,19,-,-,-,1068,69.6
1117,University of Novi Sad,Serbia,2,-,-,-,1069,69.6
1118,University of Calcutta,India,22,528,617,249,1217,69.6
1119,Hainan University,China,163,-,-,-,1070,69.5
1120,Kharkov Institute of Physics and Technology,Ukraine,1,-,-,-,1071,69.5
1121,University of Puerto Rico at Mayagüez,USA,232,-,-,-,1072,69.5
1122,University of Kassel,Germany,56,-,-,-,1073,69.5
1123,Metropolitan Autonomous University,Mexico,6,-,-,-,1074,69.5
1124,University of Massachusetts Lowell,USA,233,-,853,-,1083,69.5
1125,University of Augsburg,Germany,57,-,1551,-,1078,69.5
1126,University of the Free State,South Africa,8,-,-,-,1076,69.5
1127,Soonchunhyang University,South Korea,36,-,-,-,1077,69.5
1128,Monterrey Institute of Technology and Higher Education,Mexico,7,-,335,-,1147,69.5
1129,Hebei University,China,164,-,975,-,1081,69.5
1130,University of Sfax,Tunisia,2,-,-,-,1079,69.5
1131,Dalian Maritime University,China,165,-,1021,-,1087,69.5
1132,University of Hertfordshire,United Kingdom,66,-,-,-,1082,69.5
1133,Northeast Agricultural University,China,166,-,1130,-,1086,69.5
1134,Rouen Normandy University,France,47,466,-,-,1085,69.5
1135,University of Pécs,Hungary,6,-,-,-,1084,69.5
1136,University of Southern Queensland,Australia,33,-,1096,-,1091,69.5
1137,Changzhou University,China,167,-,1386,-,1088,69.5
1138,Ural Federal University,Russia,20,-,1140,-,1093,69.4
1139,"University of Chemistry and Technology, Prague",Czech Republic,6,-,-,-,1089,69.4
1140,Duy Tân University,Vietnam,1,-,-,-,1092,69.4
1141,Nagoya City University,Japan,50,-,832,-,1106,69.4
1142,Visva-Bharati University,India,23,-,-,-,1094,69.4
1143,Loma Linda University,USA,234,-,-,-,1095,69.4
1144,University of Évry Val d'Essonne,France,48,-,-,-,1096,69.4
1145,Teikyo University,Japan,51,-,-,-,1097,69.4
1146,Marquette University,USA,235,-,289,-,1191,69.4
1147,Huaqiao University,China,168,-,-,-,1098,69.4
1148,National Defense Medical Center,Taiwan,16,-,-,-,1099,69.4
1149,Federal University of Mato Grosso do Sul,Brazil,27,-,-,-,1100,69.4
1150,Dokuz Eylül University,Turkey,16,-,-,-,1101,69.4
1151,University of Neuchâtel,Switzerland,12,-,-,-,1102,69.4
1152,Kyoto Prefectural University of Medicine,Japan,52,-,-,-,1103,69.4
1153,Aligarh Muslim University,India,24,-,1612,-,1104,69.4
1154,"California State University, Fresno",USA,236,-,-,-,1105,69.4
1155,National Institute of Public Health (INSP),Mexico,8,-,-,-,1107,69.4
1156,Federal University of São João del-Rei,Brazil,28,-,-,-,1108,69.3
1157,University of Silesia in Katowice,Poland,16,-,-,-,1109,69.3
1158,Henan University of Science and Technology,China,169,-,1454,-,1110,69.3
1159,Wuhan University of Science and Technology,China,170,-,873,-,1115,69.3
1160,Czech University of Life Sciences Prague,Czech Republic,7,-,-,-,1111,69.3
1161,Santa Clara University,USA,237,-,105,-,1559,69.3
1162,Poznan University of Medical Sciences,Poland,17,-,-,-,1112,69.3
1163,Assiut University,Egypt,5,-,1641,-,1113,69.3
1164,Liverpool School of Tropical Medicine,United Kingdom,67,-,-,-,1114,69.3
1165,University of Las Palmas de Gran Canaria,Spain,42,-,-,-,1116,69.3
1166,Indian Agricultural Research Institute,India,25,83,1157,-,1400,69.3
1167,Anna University,India,26,536,1524,-,1118,69.3
1168,Wenzhou University,China,171,-,-,-,1117,69.3
1169,San Francisco State University,USA,238,-,947,-,1123,69.3
1170,Andrés Bello University,Chile,5,-,1629,-,1119,69.3
1171,University of Gdańsk,Poland,18,-,1047,-,1122,69.3
1172,University of Ibadan,Nigeria,1,-,-,-,1120,69.3
1173,Yamaguchi University,Japan,53,-,-,-,1121,69.3
1174,Pukyong National University,South Korea,37,-,-,-,1124,69.3
1175,Nara Institute of Science and Technology,Japan,54,-,-,-,1125,69.2
1176,Chemnitz University of Technology,Germany,58,-,1504,-,1126,69.2
1177,United States Military Academy,USA,239,-,57,-,-,69.2
1178,New York Medical College,USA,240,-,-,-,1127,69.2
1179,Mie University,Japan,55,-,-,-,1128,69.2
1180,South Dakota State University,USA,241,287,-,-,1146,69.2
1181,Jiangxi Normal University,China,172,-,1476,-,1129,69.2
1182,Bowdoin College,USA,242,113,81,-,-,69.2
1183,United Arab Emirates University,United Arab Emirates,2,-,1545,-,1130,69.2
1184,Dalian Medical University,China,173,-,-,-,1131,69.2
1185,Tokat Gaziosmanpaşa University,Turkey,17,-,-,-,1132,69.2
1186,University of Western Cape,South Africa,9,-,-,-,1133,69.2
1187,Carol Davila University of Medicine and Pharmacy,Romania,4,-,-,-,1134,69.2
1188,Smith College,USA,243,51,283,-,-,69.2
1189,Daegu Gyeongbuk Institute of Science and Technology,South Korea,38,-,-,-,1135,69.2
1190,Khon Kaen University,Thailand,4,-,-,-,1136,69.2
1191,Ibero-American University,Mexico,9,-,239,-,1266,69.2
1192,İzmir Institute of Technology,Turkey,18,-,-,-,1137,69.2
1193,Xi'an University of Technology,China,174,-,923,-,1145,69.2
1194,Gran Sasso Science Institute,Italy,50,-,-,-,1138,69.1
1195,Wilfrid Laurier University,Canada,30,-,539,-,1174,69.1
1196,Federal University of Pará,Brazil,29,-,-,-,1139,69.1
1197,Zagazig University,Egypt,6,-,-,-,1140,69.1
1198,Zhejiang A&F University,China,175,-,-,-,1141,69.1
1199,Tôn Đức Thắng University,Vietnam,2,-,-,-,1142,69.1
1200,Federal University of Espírito Santo,Brazil,30,475,-,-,1144,69.1
1201,Chung Shan Medical University,Taiwan,17,-,-,-,1143,69.1
1202,Nippon Medical School,Japan,56,-,-,-,1148,69.1
1203,"California Polytechnic State University, San Luis Obispo",USA,244,-,425,-,1207,69.1
1204,"Vietnam National University, Hanoi",Vietnam,3,-,-,-,1149,69.1
1205,China University of Mining and Technology-Beijing,China,176,-,1344,-,1151,69.1
1206,West University of Timișoara,Romania,5,-,-,-,1150,69.1
1207,Guangxi Medical University,China,177,-,-,-,1152,69.1
1208,Southwestern University of Finance and Economics,China,178,-,178,-,1392,69.1
1209,Magna Graecia University of Catanzaro,Italy,51,-,-,-,1153,69.1
1210,Skolkovo Institute of Science and Technology,Russia,21,-,-,-,1154,69.1
1211,Conservatoire national des arts et métiers,France,49,-,1451,-,1156,69.1
1212,Federal University of Paraíba,Brazil,31,-,-,-,1155,69.1
1213,Howard University,USA,245,-,-,-,1157,69
1214,Changsha University of Science and Technology,China,179,-,-,-,1158,69
1215,University of North Dakota,USA,246,-,905,-,1166,69
1216,Tokyo Medical University,Japan,57,-,-,-,1160,69
1217,Sant'Anna School of Advanced Studies,Italy,52,-,-,-,1161,69
1218,Stevens Institute of Technology,USA,247,382,221,-,1344,69
1219,Ca' Foscari University of Venice,Italy,53,-,1381,-,1162,69
1220,Adıyaman University,Turkey,19,-,-,-,1163,69
1221,Shanghai University of Traditional Chinese Medicine,China,180,-,-,-,1164,69
1222,Southwest Petroleum University,China,181,-,1074,-,1168,69
1223,Iran University of Medical Sciences,Iran,14,-,-,-,1165,69
1224,Hebei Medical University,China,182,-,1579,-,1167,69
1225,Fu Jen Catholic University,Taiwan,18,-,696,-,1190,69
1226,University of the Punjab,Pakistan,4,411,1653,-,1173,69
1227,College of the Holy Cross,USA,248,187,62,-,-,69
1228,Indian Association for the Cultivation of Science,India,27,-,-,-,1169,69
1229,TOBB University of Economics and Technology,Turkey,20,-,-,-,1171,69
1230,Hofstra University,USA,249,434,722,-,1192,69
1231,Prince of Songkla University,Thailand,5,-,-,-,1172,69
1232,Coventry University,United Kingdom,68,-,1086,-,1176,69
1233,Austral University of Chile,Chile,6,-,1133,-,1175,68.9
1234,École centrale de Lyon,France,50,-,420,-,1229,68.9
1235,Heilongjiang University,China,183,-,1475,-,1177,68.9
1236,Maynooth University,Ireland,8,-,-,-,1178,68.9
1237,Maria Sklodowska-Curie National Research Institute of Oncology,Poland,19,-,-,-,1179,68.9
1238,Suez Canal University,Egypt,7,-,-,-,1180,68.9
1239,Bournemouth University,United Kingdom,69,-,1532,-,1181,68.9
1240,Federal University of Uberlândia,Brazil,32,-,-,-,1182,68.9
1241,University of Western Brittany,France,51,-,-,-,1183,68.9
1242,University of Agriculture Faisalabad,Pakistan,5,-,-,-,1184,68.9
1243,University of Lodz,Poland,20,494,1434,-,1185,68.9
1244,National University of Sciences and Technology,Pakistan,6,-,-,-,1186,68.9
1245,Jikei University,Japan,58,-,-,-,1187,68.9
1246,Public University of Navarre,Spain,43,-,-,-,1189,68.9
1247,Boise State University,USA,250,-,1594,-,1193,68.9
1248,Oakland University,USA,251,-,-,-,1194,68.9
1249,Albany Medical College,USA,252,-,-,-,1195,68.9
1250,University of Algarve,Portugal,7,-,-,-,1196,68.9
1251,Texas State University,USA,253,-,1489,-,1197,68.9
1252,Kafkas University,Turkey,21,-,-,-,1198,68.9
1253,Southwest University of Science and Technology,China,184,-,1460,-,1199,68.8
1254,Brno University of Technology,Czech Republic,8,-,-,-,1200,68.8
1255,Yokohama National University,Japan,59,-,268,-,1323,68.8
1256,"University of the West of England, Bristol",United Kingdom,70,495,-,-,1204,68.8
1257,Mashhad University of Medical Sciences,Iran,15,-,-,-,1201,68.8
1258,University of Hyderabad,India,28,-,-,-,1202,68.8
1259,Brock University,Canada,31,-,-,-,1203,68.8
1260,Catholic University of America,USA,254,-,1066,-,1210,68.8
1261,National University of Distance Education,Spain,44,-,1366,-,1205,68.8
1262,Henan Agricultural University,China,185,-,1330,-,1209,68.8
1263,Okinawa Institute of Science and Technology,Japan,60,-,-,-,1206,68.8
1264,Jiangsu University of Science and Technology,China,186,-,-,-,1208,68.8
1265,Wright State University,USA,255,-,-,-,1211,68.8
1266,University of Ghana,Ghana,1,-,1626,-,1212,68.8
1267,Institute of Solid State Physics of the Russian Academy of Sciences,Russia,22,45,-,-,-,68.8
1268,Fujita Health University,Japan,61,-,-,-,1213,68.8
1269,University of Yamanashi,Japan,62,182,-,-,1273,68.8
1270,Vellore Institute of Technology,India,29,-,-,-,1214,68.8
1271,Anhui Normal University,China,187,-,-,-,1215,68.8
1272,University of Almería,Spain,45,-,-,-,1216,68.8
1273,University of Dayton,USA,256,201,158,-,1571,68.7
1274,Henan Polytechnic University,China,188,-,1275,-,1219,68.7
1275,Federal University of Lavras,Brazil,33,-,-,-,1218,68.7
1276,Sechenov University,Russia,23,-,1559,-,1220,68.7
1277,K. N. Toosi University of Technology,Iran,16,-,-,-,1221,68.7
1278,Kanazawa Institute of Technology,Japan,63,173,-,63,-,68.7
1279,Toulouse 1 Capitole University,France,52,-,-,252,1381,68.7
1280,Osnabrück University,Germany,59,-,-,-,1222,68.7
1281,University of Greenwich,United Kingdom,71,235,1379,-,1258,68.7
1282,Dong-A University,South Korea,39,-,1061,-,1227,68.7
1283,State University of Maringá,Brazil,34,-,-,-,1223,68.7
1284,Jacobs University,Germany,60,-,-,-,1224,68.7
1285,Erciyes University,Turkey,22,-,-,-,1225,68.7
1286,Isfahan University of Medical Sciences,Iran,17,-,-,-,1226,68.7
1287,University of Missouri-St. Louis,USA,257,-,378,-,1309,68.7
1288,Wuhan Institute of Technology,China,189,-,-,-,1228,68.7
1289,Hirosaki University,Japan,64,-,1081,-,1233,68.7
1290,Keimyung University,South Korea,40,-,1614,-,1230,68.7
1291,Nagasaki Institute of Applied Science,Japan,65,-,-,-,1231,68.7
1292,Tuscia University,Italy,54,-,-,-,1232,68.7
1293,"California State University, Fullerton",USA,258,-,1170,-,1234,68.6
1294,University of Bradford,United Kingdom,72,-,310,-,1349,68.6
1295,Clark University,USA,259,-,199,-,1448,68.6
1296,University of the Ryukyus,Japan,66,-,-,-,1235,68.6
1297,University of León,Spain,46,-,-,-,1236,68.6
1298,Kasetsart University,Thailand,6,-,1642,-,1237,68.6
1299,University of Camerino,Italy,55,-,-,-,1238,68.6
1300,University of Reims Champagne-Ardenne,France,53,-,965,-,1248,68.6
1301,Campus Bio-Medico University,Italy,56,-,-,-,1239,68.6
1302,University of South Africa,South Africa,10,-,950,-,1249,68.6
1303,Asian Institute of Management,Philippines,1,-,44,-,-,68.6
1304,Rhodes University,South Africa,11,374,858,-,1256,68.6
1305,Kōchi University,Japan,67,-,-,-,1241,68.6
1306,Saitama Medical University,Japan,68,-,-,-,1242,68.6
1307,University of Stavanger,Norway,7,-,1492,-,1243,68.6
1308,B.I. Stepanov Institute of Physics of The National Academy of Sciences of Belarus,Belarus,2,-,-,-,1245,68.6
1309,University of Alabama in Huntsville,USA,260,-,-,-,1246,68.6
1310,Guangxi Normal University,China,190,-,-,-,1247,68.6
1311,Tottori University,Japan,69,278,846,-,1283,68.6
1312,Sultan Qaboos University,Oman,1,-,-,-,1250,68.6
1313,Chung Yuan Christian University,Taiwan,19,-,448,-,1315,68.5
1314,Warsaw University of Life Sciences,Poland,21,439,-,-,1255,68.5
1315,National Institute for Space Research (INPE),Brazil,35,-,-,-,1251,68.5
1316,National University of Science and Technology MISiS,Russia,24,-,1257,-,1254,68.5
1317,Jordan University of Science and Technology,Jordan,1,-,-,-,1252,68.5
1318,University of the Sunshine Coast,Australia,34,-,-,-,1253,68.5
1319,Saitama University,Japan,70,370,904,-,1271,68.5
1320,Royal Veterinary College,United Kingdom,73,277,-,-,1287,68.5
1321,Fayoum University,Egypt,8,-,-,-,1257,68.5
1322,Saga University,Japan,71,-,-,-,1259,68.5
1323,Xuzhou Medical University,China,191,-,-,-,1260,68.5
1324,Babol Noshirvani University of Technology,Iran,18,-,-,-,1261,68.5
1325,Shaanxi University of Science and Technology,China,192,-,750,-,1280,68.5
1326,University of Foggia,Italy,57,-,-,-,1262,68.5
1327,Lakehead University,Canada,32,-,784,-,1278,68.5
1328,University of Picardie Jules Verne,France,54,-,1598,-,1263,68.5
1329,Education University of Hong Kong,China,193,-,-,-,1264,68.5
1330,University of South China,China,194,-,860,-,1274,68.5
1331,SOAS University of London,United Kingdom,74,67,927,-,1848,68.5
1332,SUNY College of Environmental Science and Forestry,USA,261,98,-,-,1528,68.5
1333,Soongsil University,South Korea,41,-,-,-,1265,68.5
1334,Kuwait University,Kuwait,1,-,1217,-,1267,68.4
1335,Silesian University of Technology,Poland,22,-,1569,-,1268,68.4
1336,Menlo College,USA,262,-,45,-,-,68.4
1337,Singapore Management University,Singapore,4,-,-,-,1269,68.4
1338,University of Pau and Pays de l'Adour,France,55,-,-,-,1270,68.4
1339,Shenyang Pharmaceutical University,China,195,-,-,-,1272,68.4
1340,Manipal Academy of Higher Education,India,30,-,1015,-,1281,68.4
1341,ESSEC Business School,France,56,-,68,-,-,68.4
1342,Liaocheng University,China,196,-,-,-,1275,68.4
1343,Linnaeus University,Sweden,14,-,-,-,1276,68.4
1344,Northwest Normal University,China,197,-,-,-,1277,68.4
1345,Southern Cross University,Australia,35,-,-,-,1279,68.4
1346,Gdańsk University of Technology,Poland,23,-,1228,-,1284,68.4
1347,University of Lincoln,United Kingdom,75,-,-,-,1282,68.4
1348,Xinjiang University,China,198,-,1298,-,1285,68.4
1349,King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia,5,-,-,-,1286,68.4
1350,University of Costa Rica,Costa Rica,1,-,-,-,1288,68.4
1351,Istanbul University-Cerrahpaşa,Turkey,23,-,-,-,1289,68.4
1352,University of Guadalajara,Mexico,10,-,-,-,1290,68.4
1353,"Institute of Physics, Azerbaijan National Academy of Sciences",Azerbaijan,1,-,-,-,1291,68.4
1354,University of Limoges,France,57,-,-,-,1292,68.4
1355,Qingdao Agricultural University,China,199,-,-,-,1293,68.3
1356,"University of Puerto Rico, Medical Sciences Campus",USA,263,-,-,-,1294,68.3
1357,Democritus University of Thrace,Greece,8,-,-,-,1295,68.3
1358,Kurume University,Japan,72,-,-,-,1296,68.3
1359,China Jiliang University,China,200,-,-,-,1298,68.3
1360,Erzincan Binali Yıldırım University,Turkey,24,-,-,-,1299,68.3
1361,University of Miyazaki,Japan,73,-,-,-,1300,68.3
1362,Özyeğin University,Turkey,25,-,-,-,1301,68.3
1363,British University in Egypt,Egypt,9,-,-,-,1302,68.3
1364,École des Hautes Études en Sciences Sociales,France,58,265,641,-,1361,68.3
1365,Shiraz University of Medical Sciences,Iran,19,-,-,-,1303,68.3
1366,Jeju National University,South Korea,42,-,-,-,1304,68.3
1367,University of Namur,Belgium,10,332,569,-,1357,68.3
1368,University of Monastir,Tunisia,3,-,-,-,1305,68.3
1369,University of Yaoundé I,Cameroon,1,-,-,-,1306,68.3
1370,Showa University,Japan,74,-,782,-,1324,68.3
1371,University of Carthage,Tunisia,4,-,-,-,1307,68.3
1372,"Indian Institute of Science Education and Research, Kolkata",India,31,-,-,-,1308,68.3
1373,National Taiwan Ocean University,Taiwan,20,-,1150,-,1314,68.3
1374,Lodz University of Technology,Poland,24,-,-,-,1310,68.3
1375,Anhui Agricultural University,China,201,-,-,-,1311,68.3
1376,Hyogo College of Medicine,Japan,75,-,-,-,1312,68.3
1377,"University of Santiago, Chile",Chile,7,-,981,-,1321,68.2
1378,University of the Aegean,Greece,9,-,-,-,1316,68.2
1379,"California State University, Northridge",USA,264,-,1196,-,1318,68.2
1380,Atatürk University,Turkey,26,-,1513,-,1317,68.2
